empresa,puntuacion_total,categoria,dimensiones,razonamiento_breve,patron_detectado,recomendacion
Mecanizados Industriales del Norte SL,13,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 2}","ICP perfecto: sector industrial B2B, tamaño ideal, ciclo consultivo. Madurez alta: diagnostican problema de método vs herramienta tras descartar soluciones tecnológicas. Director Comercial con 8 años en cargo tiene autoridad clara. Dolor articulado con síntomas concretos (saturación, pérdida de oportunidades).",sistema_comercial_roto,Diagnóstico como entry point. El reconocimiento explícito de fallo metodológico tras descartar herramientas justifica mapeo completo antes de intervención mayor.
Componentes Plásticos García SA,15,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 3, 'capacidad_presupuestaria': 3}","ICP perfecto: industrial B2B, 120 empleados, 18M€, con equipo comercial existente. CEO decisor único que diagnostica el problema como sistémico (profesionalización sin perder cercanía), conoce RevOps, presupuesto disponible y urgencia clara Q1.",ideal_cliente,Avanzar a propuesta directa: Core o Transformación según alcance. La madurez del problema y disponibilidad presupuestaria justifican intervención profunda.
Talleres Hermanos Ruiz SL,2,No encaje,"{'encaje_icp': 0, 'madurez_problema': 0, 'capacidad_decision': 2, 'timing': 0, 'capacidad_presupuestaria': 0}",Empresa fuera de ICP por tamaño (18 empleados vs. 50-200 requeridos) y facturación (2.5M vs. 5-50M). El dolor declarado es puramente tecnológico ('necesito CRM') sin diagnóstico de problema sistémico subyacente.,fuera_icp_tamano,Descartar como cliente potencial actual. Empresa demasiado pequeña para el modelo de intervención consultiva de la boutique.
Soluciones Logísticas Mediterráneo,6,Encaje débil,"{'encaje_icp': 2, 'madurez_problema': 1, 'capacidad_decision': 0, 'timing': 1, 'capacidad_presupuestaria': 2}","Empresa encaja en ICP por tamaño y sector B2B, pero contacto equivocado sin autoridad comercial. Dolor identificado parece operativo, no sistémico-comercial. Falta seguimiento del Director Comercial tras derivación.",decisor_equivocado,Re-cualificar contacto. Insistir en conversación directa con Director Comercial o CEO para validar si existe problema comercial sistémico además del operativo.
Industrias Metálicas del Ebro,6,Encaje débil,"{'encaje_icp': 2, 'madurez_problema': 1, 'capacidad_decision': 0, 'timing': 1, 'capacidad_presupuestaria': 2}","Empresa encaja en ICP por sector industrial y tamaño, pero interlocutor es Marketing sin capacidad de decisión. Problema formulado como necesidad de captación digital, no reconocen problema de sistema comercial. Sin acceso a decisor real tras 6 semanas.",decisor_equivocado,Re-cualificar contacto. Solicitar conversación directa con CEO antes de invertir más esfuerzo comercial.
Servicios Profesionales Auditoría 360 SL,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 3, 'capacidad_presupuestaria': 2}","Encaje ICP perfecto: sector servicios profesionales, tamaño ideal, CEO decisor que diagnostica el problema como sistémico y no tecnológico. Urgencia clara al reconocer pérdida de oportunidades. Capacidad presupuestaria adecuada dado el perfil y facturación.",sistema_comercial_roto,Diagnóstico como entry point. Articulación clara del problema sistémico y madurez del contacto justifican mapeo completo antes de intervención mayor.
Distribuciones Alimentarias Vega,5,Encaje débil,"{'encaje_icp': 2, 'madurez_problema': 0, 'capacidad_decision': 2, 'timing': 0, 'capacidad_presupuestaria': 1}","Encaje sectorial y organizacional correcto, pero dolor formulado como necesidad de herramienta tecnológica, no de método. Busca solución táctica con expectativa de ROI inmediato incompatible con modelo consultivo de diagnóstico previo.",dolor_generico_sin_diagnostico,Descartar como cliente potencial actual. El enfoque herramienta-primero y expectativa de ROI a 3 meses es incompatible con nuestro posicionamiento consultivo.
Climatización Industrial del Sur SL,9,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 2, 'capacidad_decision': 1, 'timing': 1, 'capacidad_presupuestaria': 2}","Encaje ICP perfecto (industrial B2B, tamaño adecuado, ciclo consultivo). Problema reconocido por CEO pero Director Comercial sin autonomía ni diagnóstico profundo. Timing largo sin disparador urgente.",decisor_equivocado,Re-cualificar contacto. Solicitar reunión triangular con CEO presente antes de proponer Diagnóstico como entry point apropiado.
Maquinaria Agrícola Castilla,6,Encaje débil,"{'encaje_icp': 2, 'madurez_problema': 1, 'capacidad_decision': 2, 'timing': 1, 'capacidad_presupuestaria': 0}","Encaja en ICP por sector, tamaño y facturación, y contacto es decisor apropiado. Sin embargo, el dolor es de expansión internacional, no de optimización de sistema comercial doméstico existente. Fuera de nuestro sweet spot de intervención.",fuera_icp_sector,Descartar como cliente potencial actual. Derivar a consultora especializada en internacionalización comercial. El problema no encaja con nuestro expertise de sistema comercial doméstico.
Soluciones Energéticas Renovables BCN,9,Encaje parcial,"{'encaje_icp': 2, 'madurez_problema': 2, 'capacidad_decision': 2, 'timing': 2, 'capacidad_presupuestaria': 1}","Empresa algo pequeña (40 empleados, por debajo del rango ideal 50-200) pero en sector industrial B2B válido. Director Comercial con autonomía probable. Problema articulado (cualificación ineficiente) pero existe riesgo de solución alternativa fácil (contratar más comerciales). Presupuesto declarado pero no demostrado en consultoría previa.",buen_encaje_timing_largo,Diagnóstico como entry point para mapear el cuello de botella real en cualificación. Abordar el dilema contratar vs optimizar proceso antes de cualquier propuesta mayor.
Confecciones Textiles Levante SA,11,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 1, 'capacidad_presupuestaria': 1}","ICP perfecto: sector industrial B2B, tamaño óptimo, CEO decidiendo, problema sistémico articulado con claridad. Sin embargo, timing largo y probable resistencia cultural reducen urgencia y capacidad de inversión inmediata.",buen_encaje_timing_largo,Diagnóstico como entry point para generar urgencia interna. El desfase generacional requiere evidencia concreta antes de intervención mayor.
Logística y Transporte Pirineos,13,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 2}","ICP perfecto: sector industrial B2B, tamaño ideal, facturación robusta. Dolor sistémico articulado con precisión diagnóstica ('tenemos KPIs pero no sé interpretarlos'). Director Comercial accesible con mandato claro.",sistema_comercial_roto,Diagnóstico como entry point inmediato. El dolor analítico verbalizado encaja perfectamente con nuestra propuesta de auditoría inicial del sistema comercial.
Sistemas Hidráulicos Industriales SL,3,No encaje,"{'encaje_icp': 0, 'madurez_problema': 0, 'capacidad_decision': 2, 'timing': 0, 'capacidad_presupuestaria': 1}","Empresa fuera de ICP por tamaño (32 empleados vs 50-200 requerido) y facturación (4.5M vs 5-50M). Dolor genérico sin diagnóstico real del sistema comercial, motivado por moda tecnológica sin problema articulado.",decision_por_moda,Descartar como cliente potencial actual. La empresa no cumple criterios básicos de ICP y el dolor declarado carece de profundidad comercial.
Fabricación de Tornillería Especial,11,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 2, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 1}","Encaje perfecto en ICP (industrial B2B, tamaño, contacto decisor con mandato). Sin embargo, el dolor expresado es genérico (eficiencia) y la consideración de externalizar el equipo comercial completo indica que pueden estar buscando una solución operativa (outsourcing) en lugar de transformación sistémica, lo cual no es nuestro servicio.",dolor_generico_sin_diagnostico,Diagnóstico para mapear si el problema es sistémico o de capacidad operativa. Clarificar antes de proponer si buscan rediseño o externalización.
Servicios Industriales Galicia SL,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP perfecto: sector industrial B2B, tamaño ideal, CEO decisor con diagnóstico articulado ('crecer por método no por inercia'). Patrón de sistema comercial que requiere profesionalización. Único punto débil: timing flexible sin disparador urgente inmediato.",sistema_comercial_roto,Diagnóstico como entry point. La madurez del problema y perfil decisor justifican mapeo completo antes de intervención mayor.
Embalajes y Packaging del Atlántico,6,Encaje débil,"{'encaje_icp': 2, 'madurez_problema': 0, 'capacidad_decision': 0, 'timing': 2, 'capacidad_presupuestaria': 2}","Empresa encaja en ICP (tamaño, sector industrial B2B, facturación), pero interlocutor es RRHH sin capacidad de decisión comercial. El dolor declarado es genérico y centrado en herramientas, no en diagnóstico de sistema. Timing moderado por contratación en curso.",decisor_equivocado,"Re-cualificar contacto. Insistir en conversación directa con Director Comercial antes de proponer producto. Sin ese acceso, descartar."
Maquinaria de Envasado Industrial,11,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 2, 'timing': 1, 'capacidad_presupuestaria': 2}","ICP ideal: sector industrial B2B, tamaño correcto, ciclo consultivo largo, problema sistémico articulado con claridad. Decisor apropiado pero timing comprometido por cambio de ERP en curso, lo que puede aplazar intervención 3-6 meses.",buen_encaje_timing_largo,Diagnóstico diferido a post-implementación ERP. Mantener conversación activa mensual para timing apropiado. El problema sistémico justifica intervención Core una vez estabilizado el cambio tecnológico.
Talleres Metalúrgicos San Roque,2,No encaje,"{'encaje_icp': 0, 'madurez_problema': 0, 'capacidad_decision': 1, 'timing': 0, 'capacidad_presupuestaria': 1}","Empresa fuera del ICP por tamaño (28 empleados vs. 50-200 requeridos) y facturación (3.5M vs. 5M-50M). Dolor genérico sin diagnóstico específico del sistema comercial, gerente operativo sin foco en venta consultiva.",fuera_icp_tamano,Descartar como cliente potencial actual. La empresa no cumple criterios mínimos de ICP y el problema articulado no conecta con nuestra oferta.
Software Industrial Específico SL,6,Encaje débil,"{'encaje_icp': 1, 'madurez_problema': 1, 'capacidad_decision': 2, 'timing': 0, 'capacidad_presupuestaria': 2}","Tamaño bajo el ICP (38 vs 50+ empleados) y conflicto de interés claro: venden software al mismo público que atendemos, potencial canibalización. Dolor genérico sin diagnóstico profundo.",conflicto_interes,Descartar como cliente potencial. El conflicto de interés estructural y el tamaño fuera de ICP hacen inviable la relación comercial.
Construcciones Industriales del Sureste,12,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 2, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 2}","ICP ideal: B2B industrial, tamaño correcto, ciclo consultivo. Problema articulado con claridad (velocidad de respuesta comercial) y decisor pleno con CEO involucrado. Timing condicionado por cierre fiscal frena urgencia inmediata.",buen_encaje_timing_largo,Diagnóstico ahora para mapear el sistema. Propuesta de intervención Core para Q1 siguiente según hallazgos y ventana presupuestaria.
Automatización y Robótica Industrial,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP ideal: B2B industrial, tamaño y facturación correctos, ciclo consultivo declarado. CEO fundador con diagnóstico preciso del problema sistémico. Sin disparador urgente pero alta disposición.",sistema_comercial_roto,Diagnóstico como entry point. CEO técnico requiere mapeo estructurado del proceso antes de rediseño. Preparar escalado a Core tras validación inicial.
Distribución Repuestos Industriales SA,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP perfecto: B2B industrial, tamaño ideal, ciclo consultivo. Problema sistémico claramente articulado con datos concretos. Director Comercial es decisor natural. Facturación permite presupuesto holgado.",sistema_comercial_roto,Diagnóstico como entry point inmediato. El síntoma cuantificado y la disponibilidad de datos justifican mapeo completo del sistema comercial.
